iter	Passed	Remaining
672	15646	7602
673	15665	7577
674	15686	7552
675	15705	7527
676	15725	7502
677	15746	7478
678	15767	7454
679	15788	7430
680	15807	7404
681	15826	7379
682	15844	7353
683	15861	7327
684	15879	7302
685	15898	7276
686	15916	7251
687	15935	7226
688	15955	7202
689	15974	7177
690	15994	7152
691	16014	7127
692	16034	7103
693	16052	7077
694	16071	7052
695	16092	7028
696	16111	7003
697	16130	6979
698	16151	6955
699	16170	6930
700	16190	6905
701	16210	6881
702	16228	6856
703	16246	6831
704	16266	6806
705	16284	6781
706	16302	6755
707	16318	6730
708	16336	6705
709	16355	6680
710	16376	6656
711	16394	6631
712	16419	6609
713	16439	6585
714	16459	6560
715	16482	6537
716	16501	6513
717	16521	6488
718	16539	6463
719	16558	6439
720	16581	6416
721	16602	6392
722	16624	6369
723	16645	6345
724	16664	6321
725	16684	6296
726	16702	6272
727	16721	6247
728	16742	6223
729	16783	6207
730	16807	6184
731	16830	6161
732	16849	6137
733	16869	6113
734	16887	6088
735	16907	6064
736	16925	6040
737	16946	6016
738	16967	5992
739	16989	5969
740	17010	5945
741	17030	5921
742	17050	5897
743	17070	5873
744	17090	5849
745	17111	5826
746	17130	5801
747	17153	5778
748	17175	5755
749	17193	5731
750	17214	5707
751	17234	5683
752	17253	5659
753	17271	5635
754	17290	5610
755	17308	5586
756	17326	5561
757	17348	5538
758	17366	5514
759	17384	5489
760	17404	5466
761	17425	5442
762	17446	5419
763	17468	5395
764	17487	5371
765	17507	5348
766	17528	5324
767	17549	5301
768	17582	5281
769	17602	5257
770	17624	5234
771	17646	5211
772	17665	5187
773	17685	5163
774	17708	5141
775	17727	5117
776	17747	5093
777	17768	5070
778	17788	5046
779	17807	5022
780	17828	4999
781	17848	4975
782	17867	4951
783	17887	4928
784	17907	4904
785	17928	4881
786	17950	4858
787	17968	4834
788	17985	4809
789	18002	4785
790	18022	4761
791	18041	4738
792	18059	4714
793	18077	4690
794	18095	4666
795	18113	4642
796	18131	4618
797	18150	4594
798	18170	4571
799	18192	4548
800	18212	4524
801	18231	4501
802	18267	4481
803	18301	4461
804	18323	4438
805	18345	4415
806	18366	4392
807	18387	4369
808	18408	4346
809	18429	4322
810	18448	4299
811	18467	4275
812	18486	4252
813	18506	4228
814	18528	4205
815	18548	4182
816	18570	4159
817	18592	4136
818	18612	4113
819	18638	4091
820	18673	4071
821	18693	4047
822	18711	4024
823	18730	4000
824	18763	3980
825	18781	3956
826	18799	3932
827	18820	3909
828	18838	3885
829	18859	3862
830	18876	3838
831	18894	3815
832	18911	3791
833	18928	3767
834	18945	3743
835	18981	3723
836	18997	3699
837	19017	3676
838	19039	3653
839	19059	3630
840	19080	3607
841	19102	3584
842	19121	3561
843	19141	3538
844	19164	3515
845	19185	3492
846	19206	3469
847	19226	3446
848	19246	3423
849	19279	3402
850	19298	3379
851	19318	3355
852	19344	3333
853	19374	3312
854	19395	3289
855	19418	3266
856	19434	3242
857	19452	3219
858	19470	3195
859	19487	3172
860	19508	3149
861	19528	3126
862	19548	3103
863	19567	3080
864	19583	3056
865	19602	3033
866	19620	3009
867	19639	2986
868	19658	2963
869	19675	2940
870	19692	2916
871	19726	2895
872	19761	2874
873	19788	2852
874	19809	2829
875	19829	2806
876	19847	2783
877	19866	2760
878	19886	2737
879	19905	2714
880	19925	2691
881	19946	2668
882	19967	2645
883	19996	2623
884	20017	2601
885	20040	2578
886	20062	2555
887	20084	2533
888	20103	2510
889	20123	2487
890	20142	2464
891	20168	2441
892	20188	2418
893	20207	2396
894	20229	2373
895	20251	2350
896	20271	2327
897	20291	2304
898	20310	2281
899	20330	2258
900	20349	2235
901	20368	2213
902	20390	2190
903	20409	2167
904	20430	2144
905	20452	2122
906	20473	2099
907	20496	2076
908	20517	2054
909	20538	2031
910	20563	2008
911	20591	1986
912	20618	1964
913	20646	1942
914	20688	1921
915	20716	1899
916	20740	1877
917	20777	1855
918	20800	1833
919	20822	1810
920	20842	1787
921	20863	1764
922	20883	1742
923	20904	1719
924	20930	1697
925	20953	1674
926	20975	1651
927	20997	1629
928	21019	1606
929	21039	1583
930	21059	1560
931	21080	1538
932	21103	1515
933	21125	1492
934	21145	1469
935	21167	1447
936	21188	1424
937	21209	1401
938	21230	1379
939	21250	1356
940	21273	1333
941	21293	1311
942	21312	1288
943	21332	1265
944	21353	1242
945	21374	1220
946	21394	1197
947	21416	1174
948	21438	1152
949	21461	1129
950	21482	1106
951	21504	1084
952	21553	1062
953	21574	1040
954	21594	1017
955	21614	994
956	21635	972
957	21663	949
958	21688	927
959	21711	904
960	21735	882
961	21759	859
962	21780	836
963	21801	814
964	21821	791
965	21840	768
966	21858	745
967	21878	723
968	21898	700
969	21919	677
970	21941	655
971	21989	633
972	22018	610
973	22036	588
974	22057	565
975	22077	542
976	22095	520
977	22117	497
978	22137	474
979	22156	452
980	22176	429
981	22198	406
982	22217	384
983	22239	361
984	22257	338
985	22276	316
986	22294	293
987	22311	270
988	22329	248
989	22348	225
990	22367	203
991	22385	180
992	22402	157
993	22419	135
994	22436	112
995	22454	90
996	22474	67
997	22493	45
998	22511	22
999	22533	0
